# Source     : all
# Name       : sampledSurface
# Cells      : 559600
# Volume     : 4.859558e-09
# Scale factor: 1.000000e+00
# Time       	volIntegrateU
0.00349      	4.753594e-09 1.709383e-14 -3.926165e-18
0.0035       	4.756067e-09 1.804972e-15 -3.944467e-18
0.00351      	4.758513e-09 -1.341881e-14 -3.961883e-18
0.00352      	4.760932e-09 -2.857349e-14 -3.980041e-18
0.00353      	4.763325e-09 -4.365026e-14 -3.997215e-18
0.00354      	4.765691e-09 -5.862703e-14 -4.015126e-18
0.00355      	4.768031e-09 -7.346106e-14 -4.032084e-18
0.00356      	4.770345e-09 -8.820890e-14 -4.049870e-18
0.00357      	4.772633e-09 -1.028487e-13 -4.066613e-18
0.00358      	4.774897e-09 -1.173561e-13 -4.084184e-18
0.00359      	4.777135e-09 -1.317300e-13 -4.100928e-18
0.0036       	4.779349e-09 -1.459499e-13 -4.118517e-18
0.00361      	4.781538e-09 -1.600376e-13 -4.135085e-18
0.00362      	4.783703e-09 -1.739594e-13 -4.152538e-18
0.00363      	4.785843e-09 -1.877214e-13 -4.168954e-18
0.00364      	4.787960e-09 -2.012999e-13 -4.186283e-18
0.00365      	4.790053e-09 -2.147144e-13 -4.202522e-18
0.00366      	4.792122e-09 -2.279353e-13 -4.219719e-18
0.00367      	4.794168e-09 -2.409640e-13 -4.235804e-18
0.00368      	4.796191e-09 -2.537915e-13 -4.252859e-18
0.00369      	4.798191e-09 -2.664150e-13 -4.268786e-18
0.0037       	4.800169e-09 -2.788038e-13 -4.285686e-18
0.00371      	4.802124e-09 -2.909867e-13 -4.301455e-18
0.00372      	4.804057e-09 -3.029217e-13 -4.318205e-18
0.00373      	4.805969e-09 -3.146377e-13 -4.333821e-18
0.00374      	4.807858e-09 -3.261197e-13 -4.350429e-18
0.00375      	4.809726e-09 -3.373766e-13 -4.365881e-18
0.00376      	4.811572e-09 -3.483821e-13 -4.382346e-18
0.00377      	4.813398e-09 -3.591503e-13 -4.397626e-18
0.00378      	4.815203e-09 -3.696734e-13 -4.413940e-18
0.00379      	4.816987e-09 -3.799548e-13 -4.429078e-18
0.0038       	4.818750e-09 -3.900038e-13 -4.445257e-18
0.00381      	4.820493e-09 -3.998011e-13 -4.460219e-18
0.00382      	4.822216e-09 -4.093455e-13 -4.476222e-18
0.00383      	4.823919e-09 -4.186328e-13 -4.491089e-18
0.00384      	4.825603e-09 -4.276770e-13 -4.506926e-18
0.00385      	4.827267e-09 -4.364617e-13 -4.521638e-18
0.00386      	4.828911e-09 -4.450079e-13 -4.537313e-18
0.00387      	4.830537e-09 -4.532981e-13 -4.552069e-18
0.00388      	4.832143e-09 -4.613354e-13 -4.567607e-18
0.00389      	4.833731e-09 -4.691225e-13 -4.582190e-18
0.0039       	4.835300e-09 -4.766922e-13 -4.597593e-18
0.00391      	4.836851e-09 -4.840112e-13 -4.612015e-18
0.00392      	4.838384e-09 -4.911014e-13 -4.627211e-18
0.00393      	4.839899e-09 -4.979488e-13 -4.641446e-18
0.00394      	4.841396e-09 -5.045753e-13 -4.656830e-18
0.00395      	4.842875e-09 -5.109850e-13 -4.670656e-18
0.00396      	4.844337e-09 -5.171774e-13 -4.685525e-18
0.00397      	4.845782e-09 -5.231497e-13 -4.699588e-18
0.00398      	4.847209e-09 -5.289279e-13 -4.714685e-18
0.00399      	4.848620e-09 -5.345056e-13 -4.728355e-18
0.004        	4.850014e-09 -5.398820e-13 -4.743294e-18
